repo_name,language,clone_url,github_id,created_at,topics,stars
meituan-dianping/beeshell,typescript,https://github.com/meituan-dianping/beeshell.git,4037359,2018-08-14,[],1710
alibaba/alist,typescript,https://github.com/alibaba/alist.git,4037361,2018-05-16,[],980
diez/diez,typescript,https://github.com/diez/diez.git,4037362,2019-11-14,[],1174
plasticrake/tplink-smarthome-api,typescript,https://github.com/plasticrake/tplink-smarthome-api.git,4037364,2016-07-12,"[""kasa"", ""smartbulb"", ""smarthome"", ""smartplug"", ""tplink""]",997
elemefe/element-angular,typescript,https://github.com/elemefe/element-angular.git,4037373,2018-01-22,[],520
marp-team/marp-vscode,typescript,https://github.com/marp-team/marp-vscode.git,4037374,2019-02-02,"[""markdown"", ""marp"", ""visual-studio-code"", ""vscode"", ""vscode-extension""]",2072
chakroun-anas/turbo-console-log,typescript,https://github.com/chakroun-anas/turbo-console-log.git,4037391,2018-02-28,[],799
forcedotcom/sfdx-data-move-utility,typescript,https://github.com/forcedotcom/sfdx-data-move-utility.git,4037414,2019-12-02,"[""csv-export"", ""csv-import"", ""data-loader"", ""data-migration"", ""data-migration-tool"", ""dataloader"", ""salesforce-data-loader"", ""salesforce-data-migration"", ""salesforce-data-migration-tool"", ""salesforce-data-transfer"", ""sfdx"", ""sfdx-plugin""]",541
mobily/ts-belt,typescript,https://github.com/mobily/ts-belt.git,4037646,2020-11-30,"[""array"", ""flow"", ""fp"", ""functional-programming"", ""monad"", ""option"", ""option-type"", ""result"", ""result-type"", ""typescript""]",1049
devhubapp/devhub,typescript,https://github.com/devhubapp/devhub.git,4038071,2016-11-30,"[""android"", ""cross-platform"", ""desktop"", ""devhub"", ""electron"", ""github"", ""github-api"", ""graphql"", ""hacktoberfest"", ""ios"", ""javascript"", ""macos"", ""notifications"", ""react"", ""react-native"", ""react-native-web"", ""redux"", ""typescript"", ""web"", ""windows""]",9667
voidcosmos/npkill,typescript,https://github.com/voidcosmos/npkill.git,4038072,2019-06-30,"[""cli"", ""command-line"", ""developer-tools"", ""hacktoberfest"", ""javascript"", ""module"", ""node"", ""nodejs"", ""npm"", ""tool"", ""typescript""]",9217
piotrwitek/typesafe-actions,typescript,https://github.com/piotrwitek/typesafe-actions.git,4038074,2017-11-14,"[""action-creator"", ""javascript"", ""redux"", ""redux-actions"", ""static-typing"", ""typescript""]",2407
open-source-labs/reactime,typescript,https://github.com/open-source-labs/reactime.git,4038079,2019-07-19,"[""accessibility"", ""chrome-extension"", ""devtools-extension"", ""gatsby"", ""nextjs"", ""performance"", ""react-devtools"", ""react-fiber"", ""reactjs"", ""remixjs"", ""renderer"", ""rendering"", ""state-management"", ""time-travel""]",2237
apollographql/apollo-link-rest,typescript,https://github.com/apollographql/apollo-link-rest.git,4038084,2017-11-27,[],790
actions/setup-java,typescript,https://github.com/actions/setup-java.git,4038095,2019-07-09,[],1946
projectstorm/react-diagrams,typescript,https://github.com/projectstorm/react-diagrams.git,4038302,2016-06-03,"[""beta"", ""canvas"", ""demo"", ""diagram"", ""diagrams"", ""drag"", ""editing-diagrams"", ""factories"", ""flowchart"", ""modular"", ""react"", ""svg"", ""typescript"", ""visualization"", ""web""]",8888
wasdk/webassemblystudio,typescript,https://github.com/wasdk/webassemblystudio.git,4038304,2018-01-26,[],2868
