repo_name,language,fixture_count,commit_count_with_fixtures,first_fixture_commit,last_fixture_commit,clone_url,agent_commits_touching_tests,rejected_mixed_test_diff,accepted,created_at,topics
igniteui/igniteui-angular,typescript,3,3,4ee5c3ffddb8125415feb695729d455ed5f164e8,7ff3ee2ba95b82f0a8da42b9a859ff4cb7299dd0,https://github.com/igniteui/igniteui-angular.git,27,20,7,2016-02-11T01:28:16,"[""angular"", ""angular-charts"", ""angular-components"", ""angular-datatable"", ""angular-grid"", ""angular-table"", ""igniteui"", ""infragistics"", ""progressive-web-apps"", ""typescript"", ""ui-components""]"
luin/ioredis,typescript,1,1,4760e0a19c194f29f4feb703003dcf046e4509cd,4760e0a19c194f29f4feb703003dcf046e4509cd,https://github.com/luin/ioredis.git,4,0,4,2015-04-02T06:42:46,"[""nodejs"", ""redis"", ""redis-client"", ""redis-cluster"", ""redis-module"", ""redis-sentinel"", ""typescript""]"
khan/perseus,typescript,2,1,e1f9a0d2a1b5538650e9d6b2fac3fa219dab0577,e1f9a0d2a1b5538650e9d6b2fac3fa219dab0577,https://github.com/khan/perseus.git,2,1,1,2013-01-25T07:54:46,[]
martpie/museeks,typescript,0,0,,,https://github.com/martpie/museeks.git,0,0,0,2015-03-03T01:01:31,"[""cross-platform"", ""electron"", ""museeks"", ""music"", ""music-player"", ""react""]"
lume/lume,typescript,0,0,,,https://github.com/lume/lume.git,0,0,0,2014-12-30T06:40:12,"[""3d"", ""3d-engine"", ""3d-graphics"", ""3d-models"", ""css3d"", ""custom-elements"", ""dom-elements"", ""graphics"", ""graphics-engine"", ""graphics-programming"", ""html"", ""javascript"", ""lume"", ""scene"", ""three-d"", ""three-dimensions"", ""threejs"", ""ui"", ""web-components"", ""webgl""]"
marktext/muya,typescript,11,7,b6a62dd2845444a241394d14f8d1d67b6cb31352,00939d2c952bbf16d00018c585165888fe37a6bb,https://github.com/marktext/muya.git,33,7,26,2018-06-29T02:30:54,"[""markdown"", ""markdown-editor""]"
maygo/tockler,typescript,0,0,,,https://github.com/maygo/tockler.git,0,0,0,2016-02-28T08:32:04,"[""electron"", ""electron-app"", ""osx"", ""productivity"", ""timeline"", ""timetracker"", ""windows""]"
meilisearch/meilisearch-js,typescript,0,0,,,https://github.com/meilisearch/meilisearch-js.git,0,0,0,2019-10-02T03:37:57,"[""javascript"", ""meilisearch"", ""nodejs"", ""sdk"", ""typescript""]"
getsentry/sentry-javascript,typescript,52,26,ba3728d782e2c7bfbb0c9ffc205de3a9b9237201,ecd606ea4d2bc9642c929b8fac0797255d298163,https://github.com/getsentry/sentry-javascript.git,291,194,97,2012-02-01T08:16:25,"[""angular"", ""crash-reporting"", ""ember"", ""error-monitoring"", ""hacktoberfest"", ""javascript"", ""javascript-client"", ""nextjs"", ""node"", ""raven"", ""react"", ""sdk"", ""sentry"", ""sentry-client"", ""tag-production"", ""team-sdk-javascript"", ""team-web-frontend"", ""typescript"", ""vue""]"
maximeheckel/blog.maximeheckel.com,typescript,0,0,,,https://github.com/maximeheckel/blog.maximeheckel.com.git,0,0,0,2019-08-10T05:04:46,[]
microsoft/clarity,typescript,0,0,,,https://github.com/microsoft/clarity.git,2,0,2,2020-04-30T12:42:51,"[""clarity"", ""heatmap"", ""session-replay""]"
microsoft/fast,typescript,0,0,,,https://github.com/microsoft/fast.git,0,0,0,2018-03-02T08:10:30,"[""adaptive-ui"", ""animation-library"", ""color-library"", ""component-architecture"", ""component-library"", ""components"", ""design-architecture"", ""design-systems"", ""development-tools"", ""front-end-framework"", ""react"", ""typescript"", ""web-accessibility"", ""web-components"", ""web-components-schemas"", ""web-standards""]"
microsoft/fluentui-react-native,typescript,0,0,,,https://github.com/microsoft/fluentui-react-native.git,1,1,0,2019-07-10T08:27:19,[]
microsoft/just,typescript,0,0,,,https://github.com/microsoft/just.git,1,1,0,2019-01-17T06:07:00,"[""build"", ""javascript"", ""typescript""]"
johannesjo/super-productivity,typescript,33,17,259d9d5a6278e298fd79529f5bd43b2d64099bc2,817171f329cf56c71e29d26d932c00aef52dd6c6,https://github.com/johannesjo/super-productivity.git,129,86,43,2017-01-06T10:30:58,"[""electron-app"", ""hacktoberfest"", ""hacktoberfest2022"", ""jira"", ""linux"", ""macos"", ""productivity"", ""task-manager"", ""time-tracker"", ""timetracking"", ""to-do-list"", ""todo""]"
microsoft/maker.js,typescript,0,0,,,https://github.com/microsoft/maker.js.git,2,0,2,2015-05-08T07:39:23,"[""arc"", ""bezier"", ""cad"", ""circle"", ""cnc"", ""draw"", ""drawing"", ""dxf"", ""fonts"", ""geometry"", ""laser"", ""line"", ""maker"", ""openjscad"", ""pdf"", ""rectangle"", ""svg"", ""vector""]"
marktext/marktext,typescript,189,78,9ffc5b1bec251fd07e6261480e857056c395d363,43bd8b77795fb27b1a9512737c000f7362031ea0,https://github.com/marktext/marktext.git,248,69,179,2017-11-12T04:05:25,"[""dark-mode"", ""editor"", ""electron"", ""focus-mode"", ""latex"", ""linux"", ""mac"", ""macos"", ""markdown"", ""marktext"", ""source-code"", ""typewriter-mode"", ""vue"", ""windows""]"
marmelab/react-admin,typescript,0,0,,,https://github.com/marmelab/react-admin.git,2,1,1,2016-07-13T07:58:54,"[""admin"", ""admin-dashboard"", ""admin-on-rest"", ""admin-ui"", ""frontend-framework"", ""graphql"", ""material-ui"", ""react"", ""react-admin"", ""reactjs"", ""rest"", ""single-page-app""]"
microsoft/playwright,typescript,0,0,,,https://github.com/microsoft/playwright.git,36,21,15,2019-11-15T06:32:42,"[""automation"", ""chrome"", ""chromium"", ""e2e-testing"", ""electron"", ""end-to-end-testing"", ""firefox"", ""javascript"", ""playwright"", ""test"", ""test-automation"", ""testing"", ""testing-tools"", ""web"", ""webkit""]"
markuplint/markuplint,typescript,5,4,40685828da697dfa8565288438a5d027dd0fae45,1572fe8b908bb4505a2cf3d12fd2f7ce65496ae4,https://github.com/markuplint/markuplint.git,245,115,130,2017-09-26T04:25:35,"[""alpinejs"", ""custom-elements"", ""html"", ""htmx"", ""jsx-templates"", ""linter"", ""liquid"", ""mustache-templates"", ""nunjucks"", ""php"", ""pug"", ""react"", ""svelte"", ""vue""]"
microsoft/roosterjs,typescript,17,3,2fac28c6d7d47b9029753936fdaf893f42a8441b,aa5407756e5861b68d78663419c4560370c9de2b,https://github.com/microsoft/roosterjs.git,52,31,21,2017-07-13T04:39:51,[]
microsoft/vscode-cmake-tools,typescript,0,0,,,https://github.com/microsoft/vscode-cmake-tools.git,31,11,20,2016-04-16T09:00:29,"[""c"", ""cmake"", ""cpp"", ""ctest"", ""debugging"", ""intellisense"", ""microsoft"", ""tasks"", ""visual-studio-code""]"
microsoft/vscode-jupyter,typescript,0,0,,,https://github.com/microsoft/vscode-jupyter.git,9,5,4,2020-09-10T11:39:14,"[""datascience"", ""jupyter"", ""machine-learning"", ""vscode"", ""vscode-extension""]"
microsoft/pxt,typescript,0,0,,,https://github.com/microsoft/pxt.git,0,0,0,2016-01-24T07:35:52,"[""adafruit"", ""blockly"", ""editor"", ""javascript"", ""makecode"", ""microbit"", ""microsoft-makecode"", ""minecraft"", ""pxt"", ""typescript""]"
microsoft/pxt-arcade,typescript,0,0,,,https://github.com/microsoft/pxt-arcade.git,0,0,0,2018-01-17T01:43:03,"[""makecode""]"
