repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,agent_type,commit_kind
StarRocks/starrocks,java,40b67191df7dc188d3caa35aad2e18323ab095c8,fe/fe-core/src/test/java/com/starrocks/common/lock/LockerIntensiveLockRollbackTest.java,tearDown,junit5_after_each,51,55,5,junit,0,claude,agent
StarRocks/starrocks,java,40b67191df7dc188d3caa35aad2e18323ab095c8,fe/fe-core/src/test/java/com/starrocks/sql/analyzer/PlannerMetaLockerRollbackTest.java,resetLockManager,junit5_before_each,51,54,4,junit,0,claude,agent
StarRocks/starrocks,java,40b67191df7dc188d3caa35aad2e18323ab095c8,fe/fe-core/src/test/java/com/starrocks/sql/analyzer/PlannerMetaLockerRollbackTest.java,cleanupLockManager,junit5_after_each,56,59,4,junit,0,claude,agent
StarRocks/starrocks,java,c88fe8141e67976eda5a23a1f0b7e5501e1b073b,fe/fe-core/src/test/java/com/starrocks/metric/MaterializedViewMetricsJobLevelTest.java,beforeClass,junit5_before_all,38,42,5,junit,0,claude,agent
StarRocks/starrocks,java,b6a9bd075c3bffdca54a61b80d77e3929549887e,fe/fe-core/src/test/java/com/starrocks/metric/MaterializedViewGlobalMetricsTest.java,beforeClass,junit5_before_all,37,41,5,junit,0,claude,agent
agentscope-ai/agentscope-java,java,4406b5885d36a150d8913f2177fc461c855afbcf,agentscope-extensions/agentscope-extensions-session-mysql/src/test/java/io/agentscope/core/session/mysql/MysqlSessionTest.java,setUp,junit5_before_each,62,67,6,junit,0,copilot,agent
agentscope-ai/agentscope-java,java,4406b5885d36a150d8913f2177fc461c855afbcf,agentscope-extensions/agentscope-extensions-session-mysql/src/test/java/io/agentscope/core/session/mysql/MysqlSessionTest.java,tearDown,junit5_after_each,69,74,6,junit,0,copilot,agent
aklivity/zilla,java,d234bd634d66b5a0a22bfaacb06941d44d1b4638,runtime/store-memory/src/test/java/io/aklivity/zilla/runtime/store/memory/internal/MemoryStoreHandlerTest.java,setUp,junit4_before,32,42,11,junit,0,claude,agent
aklivity/zilla,java,d234bd634d66b5a0a22bfaacb06941d44d1b4638,specs/store-memory.spec/src/test/java/io/aklivity/zilla/specs/store/memory/config/SchemaTest.java,<anonymous>_29,junit_rule,30,33,4,junit,0,claude,agent
aklivity/zilla,java,406dcec9829ee7cf103f9b605f2a793dfc5e756c,runtime/binding-mcp/src/test/java/io/aklivity/zilla/runtime/binding/mcp/internal/stream/McpServerIT.java,<anonymous>_55,junit_rule,56,57,2,junit,0,claude,agent
