repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
pipedreamhq/pipedream,1,javascript,11388,https://github.com/pipedreamhq/pipedream.git,271,,2026-05-26T01:10:31.493449+00:00
salesforce/lwc,1,javascript,1765,https://github.com/salesforce/lwc.git,83,,2026-05-26T01:10:33.421859+00:00
pwndoc/pwndoc,1,javascript,2819,https://github.com/pwndoc/pwndoc.git,29,,2026-05-26T01:10:36.557009+00:00
asyncapi/generator,1,javascript,1053,https://github.com/asyncapi/generator.git,121,,2026-05-26T01:10:39.031438+00:00
countly/countly-server,1,javascript,5866,https://github.com/countly/countly-server.git,88,,2026-05-26T01:11:12.809704+00:00
jsdom/jsdom,1,javascript,21578,https://github.com/jsdom/jsdom.git,301,,2026-05-26T01:11:34.710626+00:00
eslint/eslint,1,javascript,27279,https://github.com/eslint/eslint.git,416,,2026-05-26T01:11:34.925231+00:00
vercel/next.js,1,javascript,139570,https://github.com/vercel/next.js.git,428,,2026-05-26T01:11:36.025002+00:00
mozilla/pdf.js,1,javascript,53365,https://github.com/mozilla/pdf.js.git,383,,2026-05-26T01:11:52.221911+00:00
fonoster/fonos,1,javascript,2305,https://github.com/fonoster/fonos.git,8,,2026-05-26T01:11:59.610358+00:00
wordpress/gutenberg,1,javascript,11669,https://github.com/wordpress/gutenberg.git,437,,2026-05-26T01:12:02.033401+00:00
jens-maus/raspberrymatic,1,javascript,1663,https://github.com/jens-maus/raspberrymatic.git,43,,2026-05-26T01:12:20.146810+00:00
facebook/react,1,javascript,245225,https://github.com/facebook/react.git,410,,2026-05-26T01:12:32.074703+00:00
irosthebeggar/mstream,1,javascript,2341,https://github.com/irosthebeggar/mstream.git,24,,2026-05-26T01:12:41.063677+00:00
quarto-dev/quarto-cli,1,javascript,5665,https://github.com/quarto-dev/quarto-cli.git,148,,2026-05-26T01:13:03.938556+00:00
blackmatrix7/ios_rule_script,1,javascript,26229,https://github.com/blackmatrix7/ios_rule_script.git,12,,2026-05-26T01:13:04.352131+00:00
zadam/trilium,1,javascript,26506,https://github.com/zadam/trilium.git,98,,2026-05-26T01:13:12.604239+00:00
popcorn-official/popcorn-desktop,1,javascript,9864,https://github.com/popcorn-official/popcorn-desktop.git,107,,2026-05-26T01:13:36.715315+00:00
sindresorhus/eslint-plugin-unicorn,1,javascript,5015,https://github.com/sindresorhus/eslint-plugin-unicorn.git,178,,2026-05-26T01:13:38.749246+00:00
webpack/webpack,1,javascript,65772,https://github.com/webpack/webpack.git,393,,2026-05-26T01:13:42.909435+00:00
lowdefy/lowdefy,1,javascript,2968,https://github.com/lowdefy/lowdefy.git,28,,2026-05-26T01:14:18.688439+00:00
thatguysam/doesitarm,1,javascript,3796,https://github.com/thatguysam/doesitarm.git,108,,2026-05-26T01:14:24.494273+00:00
sveltejs/kit,1,javascript,20528,https://github.com/sveltejs/kit.git,452,,2026-05-26T01:15:06.568364+00:00
wprig/wprig,1,javascript,1318,https://github.com/wprig/wprig.git,31,,2026-05-26T01:15:07.889974+00:00
bpmn-io/form-js,1,javascript,539,https://github.com/bpmn-io/form-js.git,25,,2026-05-26T01:15:30.214139+00:00
gokrazy/gokrazy,1,javascript,3464,https://github.com/gokrazy/gokrazy.git,37,,2026-05-26T01:15:30.284474+00:00
cweijan/vscode-office,1,javascript,1376,https://github.com/cweijan/vscode-office.git,12,,2026-05-26T01:15:37.412094+00:00
ever-co/ever-traduora,1,javascript,2114,https://github.com/ever-co/ever-traduora.git,34,,2026-05-26T01:15:45.512896+00:00
vaadin/web-components,1,javascript,564,https://github.com/vaadin/web-components.git,116,,2026-05-26T01:15:52.542392+00:00
rstudio/bookdown,1,javascript,4038,https://github.com/rstudio/bookdown.git,107,,2026-05-26T01:15:53.864854+00:00
yoast/wordpress-seo,1,javascript,1954,https://github.com/yoast/wordpress-seo.git,279,,2026-05-26T01:16:10.326014+00:00
nextcloud/mail,1,javascript,979,https://github.com/nextcloud/mail.git,167,,2026-05-26T01:16:13.336396+00:00
talebook/talebook,1,javascript,5459,https://github.com/talebook/talebook.git,17,,2026-05-26T01:16:32.577414+00:00
marcocesarato/react-native-big-list,1,javascript,538,https://github.com/marcocesarato/react-native-big-list.git,16,,2026-05-26T01:17:20.393283+00:00
stackernews/stacker.news,1,javascript,522,https://github.com/stackernews/stacker.news.git,55,,2026-05-26T01:17:30.247455+00:00
ttop32/mousetooltiptranslator,1,javascript,1208,https://github.com/ttop32/mousetooltiptranslator.git,16,,2026-05-26T01:17:46.368953+00:00
louislam/uptime-kuma,1,javascript,87127,https://github.com/louislam/uptime-kuma.git,401,,2026-05-26T01:17:50.528241+00:00
postalsys/imapapi,1,javascript,925,https://github.com/postalsys/imapapi.git,6,,2026-05-26T01:17:51.906446+00:00
postalsys/imapflow,1,javascript,532,https://github.com/postalsys/imapflow.git,22,,2026-05-26T01:18:04.491970+00:00
