repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,processed_at
openvinotoolkit/nncf,1,python,1165,https://github.com/openvinotoolkit/nncf.git,79,,2026-05-26T04:16:10.486127+00:00
celery/celery,1,python,28509,https://github.com/celery/celery.git,397,,2026-05-26T04:16:36.919857+00:00
python-telegram-bot/python-telegram-bot,1,python,29165,https://github.com/python-telegram-bot/python-telegram-bot.git,191,,2026-05-26T04:16:51.575245+00:00
rotki/rotki,1,python,3864,https://github.com/rotki/rotki.git,203,,2026-05-26T04:16:56.926021+00:00
ansible/ansible,1,python,68688,https://github.com/ansible/ansible.git,373,,2026-05-26T04:17:31.381863+00:00
internetarchive/openlibrary,1,python,6441,https://github.com/internetarchive/openlibrary.git,322,,2026-05-26T04:17:32.501989+00:00
pydata/xarray,1,python,4149,https://github.com/pydata/xarray.git,416,,2026-05-26T04:17:32.889029+00:00
django/django,1,python,87513,https://github.com/django/django.git,393,,2026-05-26T04:17:46.490069+00:00
borgbase/vorta,1,python,2450,https://github.com/borgbase/vorta.git,93,,2026-05-26T04:17:49.456475+00:00
samuelclay/newsblur,1,python,7468,https://github.com/samuelclay/newsblur.git,91,,2026-05-26T04:17:53.893863+00:00
iodide-project/pyodide,1,python,4926,https://github.com/iodide-project/pyodide.git,66,,2026-05-26T04:18:22.421569+00:00
googlecloudplatform/professional-services,1,python,3023,https://github.com/googlecloudplatform/professional-services.git,296,,2026-05-26T04:18:42.130968+00:00
tribe29/checkmk,1,python,761,https://github.com/tribe29/checkmk.git,166,,2026-05-26T04:18:47.378393+00:00
zulip/zulip,1,python,25245,https://github.com/zulip/zulip.git,402,,2026-05-26T04:18:51.903793+00:00
al-one/hass-xiaomi-miot,1,python,5839,https://github.com/al-one/hass-xiaomi-miot.git,129,,2026-05-26T04:18:52.857617+00:00
ledfx/ledfx,1,python,1948,https://github.com/ledfx/ledfx.git,71,,2026-05-26T04:19:13.586628+00:00
microsoft/pyright,1,python,15454,https://github.com/microsoft/pyright.git,138,,2026-05-26T04:19:35.875654+00:00
whitphx/streamlit-webrtc,1,python,1701,https://github.com/whitphx/streamlit-webrtc.git,9,,2026-05-26T04:19:36.745240+00:00
ray-project/ray,1,python,42614,https://github.com/ray-project/ray.git,407,,2026-05-26T04:19:37.192092+00:00
imerica/dj-rest-auth,1,python,1856,https://github.com/imerica/dj-rest-auth.git,177,,2026-05-26T04:19:42.088862+00:00
truenas/freenas,1,python,1761,https://github.com/truenas/freenas.git,116,,2026-05-26T04:19:42.793028+00:00
google/osv,1,python,550,https://github.com/google/osv.git,11,,2026-05-26T04:19:49.303413+00:00
jannikmi/timezonefinder,1,python,531,https://github.com/jannikmi/timezonefinder.git,29,,2026-05-26T04:19:53.423883+00:00
hay-kot/mealie,1,python,3399,https://github.com/hay-kot/mealie.git,63,,2026-05-26T04:20:03.446552+00:00
lumiwealth/lumibot,1,python,1585,https://github.com/lumiwealth/lumibot.git,38,,2026-05-26T04:20:15.655506+00:00
truenas/middleware,1,python,2554,https://github.com/truenas/middleware.git,160,,2026-05-26T04:20:15.885539+00:00
mozilla/fx-private-relay,1,python,1729,https://github.com/mozilla/fx-private-relay.git,43,,2026-05-26T04:20:26.966840+00:00
mandarons/icloud-drive-docker,1,python,1016,https://github.com/mandarons/icloud-drive-docker.git,12,,2026-05-26T04:20:28.461343+00:00
xpra-org/xpra,1,python,2816,https://github.com/xpra-org/xpra.git,74,,2026-05-26T04:20:53.292808+00:00
pytorch/pytorch,1,python,96633,https://github.com/pytorch/pytorch.git,319,,2026-05-26T04:21:11.081772+00:00
