repo_name,has_agent_config,language,stars,clone_url,num_contributors,qc_reason,matched_config_file,processed_at,created_at,topics,discovery_tier
paljs/prisma-tools,1,typescript,694,https://github.com/paljs/prisma-tools.git,21,,CLAUDE.md,2026-07-25T03:11:06.002581+00:00,2020-04-12T12:18:36,"[""apollo"", ""crud"", ""graphql-modules"", ""graphql-schema"", ""graphql-server"", ""nexus-framework"", ""prisma"", ""prisma-admin"", ""prisma-client"", ""prisma-framework"", ""sdl"", ""typescript""]",1
nicoespeon/abracadabra,1,typescript,885,https://github.com/nicoespeon/abracadabra.git,30,,CLAUDE.md,2026-07-25T03:11:06.004048+00:00,2019-05-24T01:45:09,"[""javascript"", ""legacy-code"", ""magic"", ""refactoring"", ""typescript"", ""vscode-extension""]",1
six7/figma-tokens,1,typescript,778,https://github.com/six7/figma-tokens.git,24,,copilot-instructions.md,2026-07-25T03:11:06.020790+00:00,2020-05-18T04:43:45,[],1
shinyoshiaki/werift-webrtc,1,typescript,612,https://github.com/shinyoshiaki/werift-webrtc.git,15,,CLAUDE.md,2026-07-25T03:11:07.208732+00:00,2020-02-16T07:37:24,"[""dtls"", ""ice"", ""nodejs"", ""rtp"", ""sctp"", ""srtp"", ""typescript"", ""webm"", ""webrtc""]",1
voxelum/x-minecraft-launcher,1,typescript,1493,https://github.com/voxelum/x-minecraft-launcher.git,48,,copilot-instructions.md,2026-07-25T03:11:08.774178+00:00,2017-06-28T11:09:01,"[""curseforge"", ""custom-minecraft-launcher"", ""electron"", ""electron-vue"", ""fabricmc"", ""minecraft"", ""minecraft-launcher"", ""minecraftforge"", ""modrinth"", ""nodejs"", ""quiltmc"", ""typescript"", ""vite""]",1
umijs/qiankun,1,typescript,16628,https://github.com/umijs/qiankun.git,66,,CLAUDE.md,2026-07-25T03:11:09.132823+00:00,2019-05-15T05:27:23,"[""framework"", ""javascript"", ""micro-frontend"", ""micro-frontends"", ""microfrontend"", ""microfrontends"", ""microservices""]",1
luin/ioredis,1,typescript,11962,https://github.com/luin/ioredis.git,145,,CLAUDE.md,2026-07-25T03:11:09.134936+00:00,2015-04-02T06:42:46,"[""nodejs"", ""redis"", ""redis-client"", ""redis-cluster"", ""redis-module"", ""redis-sentinel"", ""typescript""]",1
ericblade/quagga2,1,typescript,900,https://github.com/ericblade/quagga2.git,45,,copilot-instructions.md,2026-07-25T03:11:11.177486+00:00,2015-09-12T05:14:20,"[""barcode"", ""barcode-detection"", ""barcode-reader"", ""barcode-recognizer"", ""barcode-scanner"", ""barcodes"", ""camera"", ""ean"", ""hacktoberfest"", ""javascript"", ""node"", ""nodejs"", ""quagga""]",1
microsoft/just,1,typescript,2026,https://github.com/microsoft/just.git,46,,CLAUDE.md,2026-07-25T03:11:17.481244+00:00,2019-01-17T06:07:00,"[""build"", ""javascript"", ""typescript""]",1
dolanmiu/docx,1,typescript,5794,https://github.com/dolanmiu/docx.git,131,,copilot-instructions.md,2026-07-25T03:11:19.185219+00:00,2016-03-26T11:43:56,"[""angular"", ""angular2"", ""browser"", ""create"", ""docs"", ""document"", ""docx"", ""docx-generator"", ""express"", ""expressjs"", ""generate"", ""javascript"", ""microsoft"", ""nodejs"", ""office"", ""react"", ""typescript"", ""vuejs"", ""word""]",1
