commit_sha,repo_removed,repo_kept,language,cluster_size,stars_removed,stars_kept
b7897ba9b3e96993e5ea0222a30256eaa5df1cd9,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
476f58aa569738a123a451245a2c41907aff9ea3,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
96d6176a77fee61589ef48f211f723ce5dc18e2e,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
3f5ee5fc460f2af7b51ecb5d5a3beb9b93353e81,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
47ecb5f692d06c649806d8f3911cae654cbfd54a,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
e8ed990615d61b412f3a2b30c7300b511ea06f1e,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
7da1348d1a15d915b664a8122625cd30518c14aa,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
800c282ba7df8777e7da1231fbd2a4a24bb184d0,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
dafd30f2783fa0be963e589336ce430829f0d16f,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
dda1e8e2e18f46de145030606aa58cfdf4f262aa,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
63f6382bd158597caa23abbae47cb89b402ca390,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
c9c9387ad53482a83c86260cfc6e11fd9e1008b0,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
2656edde7899f56e2980b2b85e2bb8ffa29b42a9,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
de23c04d602e6c9ad2eee6ecebfc630a63322197,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
2c634ae25eb78284be0106b4f76efe2c1a7a601e,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
f3941d14bf163e54e1b1dba71cee76a3401b0040,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
68f5ec7591b9d9839eebb2c2a9ce93790cb4854e,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
2cc7dda2f4da7fb555550129ac5b8ee3313e3990,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
eea4eab73bc5584b734cbe3c59df104e9a0be32a,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
43463041125dcfac6d9394953487b91c7a69bbc4,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
4055e6097fedf75adaf5dbe2284c28fe1714a2e8,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
9554c76b5c8bbd18b8cb3c0c85f2e7b988067487,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
20c07c5b41414cab076e7780cd724be2446e4e40,nowork-studio/toprank,nowork-studio/NotFair,python,2,2572,3317
